更新时间,#genre#
CCTV-14,http://27.11.51.68:8005/rtp/225.0.4.128:7980$1920x1080
CCTV-14,http://121.29.111.242:8888/rtp/239.253.92.198:6063$1920x1080
CCTV-14,http://115.58.178.165:58888/rtp/225.1.4.80:1109$1920x1080
CCTV-14,http://115.58.178.165:58888/rtp/225.1.4.14:1043$1920x1080
CCTV-14,http://36.46.98.55:8010/rtp/239.112.205.91:5140$1920x1080
CCTV-14,http://123.56.129.203:4310/rtp/225.1.8.14:8132
CCTV-14,http://123.56.129.203:4310/rtp/225.1.8.114:8236
CCTV-15,http://61.157.139.15:9901/tsfile/live/2385_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://119.163.57.184:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.129.70.178:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://113.57.20.158:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://59.62.8.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://220.164.192.48:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://27.11.51.68:8005/rtp/225.0.4.220:7980$1920x1080
CCTV-15,http://121.29.111.242:8888/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://115.58.178.165:58888/rtp/225.1.4.216:1269$1920x1080
CCTV-15,http://115.58.178.165:58888/rtp/225.1.4.15:1044$1920x1080
